Date,OKTA
4/7/2017 16:00:00,23.51
4/10/2017 16:00:00,23.25
4/11/2017 16:00:00,23.3
4/12/2017 16:00:00,23
4/13/2017 16:00:00,24.49
4/17/2017 16:00:00,24.47
4/18/2017 16:00:00,23.57
4/19/2017 16:00:00,23.35
4/20/2017 16:00:00,24.01
4/21/2017 16:00:00,24.29
4/24/2017 16:00:00,23.94
4/25/2017 16:00:00,24.71
4/26/2017 16:00:00,25.52
4/27/2017 16:00:00,26.32
4/28/2017 16:00:00,26.05
5/1/2017 16:00:00,25.52
5/2/2017 16:00:00,24.76
5/3/2017 16:00:00,24.98
5/4/2017 16:00:00,24.97
5/5/2017 16:00:00,25.15
5/8/2017 16:00:00,23.73
5/9/2017 16:00:00,23.86
5/10/2017 16:00:00,23.45
5/11/2017 16:00:00,23.34
5/12/2017 16:00:00,23.7
5/15/2017 16:00:00,23.74
5/16/2017 16:00:00,23.26
5/17/2017 16:00:00,22.91
5/18/2017 16:00:00,22.99
5/19/2017 16:00:00,24.24
5/22/2017 16:00:00,25.01
5/23/2017 16:00:00,24.52
5/24/2017 16:00:00,24.24
5/25/2017 16:00:00,25.06
5/26/2017 16:00:00,25.99
5/30/2017 16:00:00,25.99
5/31/2017 16:00:00,26.1
6/1/2017 16:00:00,25.3
6/2/2017 16:00:00,24.93
6/5/2017 16:00:00,24.61
6/6/2017 16:00:00,24.85
6/7/2017 16:00:00,25.69
6/8/2017 16:00:00,27.15
6/9/2017 16:00:00,25.09
6/12/2017 16:00:00,23.81
6/13/2017 16:00:00,25.53
6/14/2017 16:00:00,26.55
6/15/2017 16:00:00,25.64
6/16/2017 16:00:00,26.48
6/19/2017 16:00:00,27.31
6/20/2017 16:00:00,26.61
6/21/2017 16:00:00,25.94
6/22/2017 16:00:00,26.3
6/23/2017 16:00:00,25.53
6/26/2017 16:00:00,25.28
6/27/2017 16:00:00,24.04
6/28/2017 16:00:00,23.99
6/29/2017 16:00:00,23.29
6/30/2017 16:00:00,22.8
7/3/2017 16:00:00,22.5
7/5/2017 16:00:00,22.38
7/6/2017 16:00:00,22.78
7/7/2017 16:00:00,23.4
7/10/2017 16:00:00,23.21
7/11/2017 16:00:00,23.02
7/12/2017 16:00:00,23.32
7/13/2017 16:00:00,23.19
7/14/2017 16:00:00,23.14
7/17/2017 16:00:00,23.76
7/18/2017 16:00:00,23.75
7/19/2017 16:00:00,24.15
7/20/2017 16:00:00,24.03
7/21/2017 16:00:00,24.27
7/24/2017 16:00:00,23.66
7/25/2017 16:00:00,23.68
7/26/2017 16:00:00,23.52
7/27/2017 16:00:00,22.69
7/28/2017 16:00:00,22.37
7/31/2017 16:00:00,21.95
8/1/2017 16:00:00,22.69
8/2/2017 16:00:00,22.19
8/3/2017 16:00:00,22.82
8/4/2017 16:00:00,23.01
8/7/2017 16:00:00,23.44
8/8/2017 16:00:00,23.56
8/9/2017 16:00:00,23.67
8/10/2017 16:00:00,22.96
8/11/2017 16:00:00,23.78
8/14/2017 16:00:00,24.03
8/15/2017 16:00:00,23.61
8/16/2017 16:00:00,24.58
8/17/2017 16:00:00,24.25
8/18/2017 16:00:00,24.86
8/21/2017 16:00:00,25.07
