Date,SPOT
4/2/2018 16:00:00,132
4/3/2018 16:00:00,149.01
4/4/2018 16:00:00,144.22
4/5/2018 16:00:00,143.99
4/6/2018 16:00:00,147.92
4/9/2018 16:00:00,150
4/10/2018 16:00:00,154.9
4/11/2018 16:00:00,149.57
4/12/2018 16:00:00,149.1
4/13/2018 16:00:00,149
4/16/2018 16:00:00,144.32
4/17/2018 16:00:00,148.49
4/18/2018 16:00:00,154.91
4/19/2018 16:00:00,153.47
4/20/2018 16:00:00,158.45
4/23/2018 16:00:00,158.04
4/24/2018 16:00:00,155.07
4/25/2018 16:00:00,153.33
4/26/2018 16:00:00,156.6
4/27/2018 16:00:00,159.98
4/30/2018 16:00:00,161.67
5/1/2018 16:00:00,164.88
5/2/2018 16:00:00,170
5/3/2018 16:00:00,160.38
5/4/2018 16:00:00,154.26
5/7/2018 16:00:00,150
5/8/2018 16:00:00,150.64
5/9/2018 16:00:00,150.07
5/10/2018 16:00:00,158.13
5/11/2018 16:00:00,156.77
5/14/2018 16:00:00,159.97
5/15/2018 16:00:00,158.71
5/16/2018 16:00:00,161.39
5/17/2018 16:00:00,158.76
5/18/2018 16:00:00,150.8
5/21/2018 16:00:00,150.22
5/22/2018 16:00:00,150.43
5/23/2018 16:00:00,154.37
5/24/2018 16:00:00,154.59
5/25/2018 16:00:00,156.6
5/29/2018 16:00:00,154.62
5/30/2018 16:00:00,156.38
5/31/2018 16:00:00,157.71
6/1/2018 16:00:00,159.24
6/4/2018 16:00:00,162.83
6/5/2018 16:00:00,164.96
6/6/2018 16:00:00,165.64
6/7/2018 16:00:00,166.03
6/8/2018 16:00:00,171.48
6/11/2018 16:00:00,172.37
6/12/2018 16:00:00,170.23
6/13/2018 16:00:00,170.82
6/14/2018 16:00:00,178.1
6/15/2018 16:00:00,175.02
6/18/2018 16:00:00,174.35
6/19/2018 16:00:00,169.89
6/20/2018 16:00:00,176.4
6/21/2018 16:00:00,179.53
6/22/2018 16:00:00,180.94
6/25/2018 16:00:00,170.37
6/26/2018 16:00:00,175.98
6/27/2018 16:00:00,172.15
6/28/2018 16:00:00,167.7
6/29/2018 16:00:00,168.24
7/2/2018 16:00:00,170.69
7/3/2018 13:00:00,168.66
7/5/2018 16:00:00,176.44
7/6/2018 16:00:00,175.7
7/9/2018 16:00:00,177.44
7/10/2018 16:00:00,180.43
7/11/2018 16:00:00,182.35
7/12/2018 16:00:00,188.35
7/13/2018 16:00:00,187.21
7/16/2018 16:00:00,184.22
7/17/2018 16:00:00,187.05
7/18/2018 16:00:00,186.15
7/19/2018 16:00:00,182.19
7/20/2018 16:00:00,182.79
