Date,V
1/2/2015 16:00:00,66.26
1/5/2015 16:00:00,64.79
1/6/2015 16:00:00,64.38
1/7/2015 16:00:00,65.24
1/8/2015 16:00:00,66.11
1/9/2015 16:00:00,65.13
1/12/2015 16:00:00,65.01
1/13/2015 16:00:00,65.19
1/14/2015 16:00:00,63.89
1/15/2015 16:00:00,63.28
1/16/2015 16:00:00,63.74
1/20/2015 16:00:00,64.21
1/21/2015 16:00:00,64.32
1/22/2015 16:00:00,64.4
1/23/2015 16:00:00,64.57
1/26/2015 16:00:00,64.13
1/27/2015 16:00:00,62.75
1/28/2015 16:00:00,61.59
1/29/2015 16:00:00,62
1/30/2015 16:00:00,63.73
2/2/2015 16:00:00,63.84
2/3/2015 16:00:00,64.95
2/4/2015 16:00:00,66.22
2/5/2015 16:00:00,67.95
2/6/2015 16:00:00,66.86
2/9/2015 16:00:00,66.36
2/10/2015 16:00:00,66.14
2/11/2015 16:00:00,66.5
2/12/2015 16:00:00,67.73
2/13/2015 16:00:00,67.41
2/17/2015 16:00:00,67.72
2/18/2015 16:00:00,67.28
2/19/2015 16:00:00,67.28
2/20/2015 16:00:00,68.25
2/23/2015 16:00:00,68.25
2/24/2015 16:00:00,68.12
2/25/2015 16:00:00,68.25
2/26/2015 16:00:00,68.44
2/27/2015 16:00:00,67.83
3/2/2015 16:00:00,69.57
3/3/2015 16:00:00,68.83
3/4/2015 16:00:00,68.44
3/5/2015 16:00:00,68.53
3/6/2015 16:00:00,67.33
3/9/2015 16:00:00,67.86
3/10/2015 16:00:00,66.3
3/11/2015 16:00:00,66.19
3/12/2015 16:00:00,67.4
3/13/2015 16:00:00,66.26
3/16/2015 16:00:00,67.26
3/17/2015 16:00:00,66.13
3/18/2015 16:00:00,66.92
3/19/2015 16:00:00,66.81
3/20/2015 16:00:00,67.41
3/23/2015 16:00:00,67.08
3/24/2015 16:00:00,67.1
3/25/2015 16:00:00,65.73
3/26/2015 16:00:00,65.59
3/27/2015 16:00:00,65.54
3/30/2015 16:00:00,65.66
3/31/2015 16:00:00,65.41
4/1/2015 16:00:00,65.18
4/2/2015 16:00:00,65.29
4/6/2015 16:00:00,65.2
4/7/2015 16:00:00,65.8
4/8/2015 16:00:00,66.5
4/9/2015 16:00:00,66.44
4/10/2015 16:00:00,66.34
4/13/2015 16:00:00,65.61
4/14/2015 16:00:00,65.53
4/15/2015 16:00:00,65.68
4/16/2015 16:00:00,65.65
4/17/2015 16:00:00,64.52
4/20/2015 16:00:00,64.72
4/21/2015 16:00:00,65.35
4/22/2015 16:00:00,68.01
4/23/2015 16:00:00,67.72
4/24/2015 16:00:00,67.48
4/27/2015 16:00:00,67.1
4/28/2015 16:00:00,66.77
4/29/2015 16:00:00,67.34
4/30/2015 16:00:00,66.05
5/1/2015 16:00:00,65.77
5/4/2015 16:00:00,65.58
5/5/2015 16:00:00,65.96
5/6/2015 16:00:00,65.67
5/7/2015 16:00:00,66.58
5/8/2015 16:00:00,69.47
5/11/2015 16:00:00,69.02
5/12/2015 16:00:00,68.69
5/13/2015 16:00:00,68.65
5/14/2015 16:00:00,70
5/15/2015 16:00:00,69.57
5/18/2015 16:00:00,70
5/19/2015 16:00:00,70.16
5/20/2015 16:00:00,69.78
5/21/2015 16:00:00,69.37
5/22/2015 16:00:00,69.62
5/26/2015 16:00:00,68.54
5/27/2015 16:00:00,69.49
5/28/2015 16:00:00,69.56
5/29/2015 16:00:00,68.68
6/1/2015 16:00:00,69.11
6/2/2015 16:00:00,69.04
6/3/2015 16:00:00,68.95
6/4/2015 16:00:00,68.21
6/5/2015 16:00:00,68.37
6/8/2015 16:00:00,67.68
6/9/2015 16:00:00,67.95
6/10/2015 16:00:00,69.63
6/11/2015 16:00:00,69.64
6/12/2015 16:00:00,69.33
6/15/2015 16:00:00,68.57
6/16/2015 16:00:00,69.01
6/17/2015 16:00:00,68.75
6/18/2015 16:00:00,69.5
6/19/2015 16:00:00,68.69
6/22/2015 16:00:00,69.09
6/23/2015 16:00:00,69.42
6/24/2015 16:00:00,68.86
6/25/2015 16:00:00,68.62
6/26/2015 16:00:00,68.75
6/29/2015 16:00:00,66.72
6/30/2015 16:00:00,67.15
7/1/2015 16:00:00,67.85
7/2/2015 16:00:00,68.24
7/6/2015 16:00:00,68.12
7/7/2015 16:00:00,67.77
7/8/2015 16:00:00,66.73
7/9/2015 16:00:00,67.05
7/10/2015 16:00:00,68.42
7/13/2015 16:00:00,69.52
7/14/2015 16:00:00,70.1
7/15/2015 16:00:00,70.02
7/16/2015 16:00:00,70.57
7/17/2015 16:00:00,70.88
7/20/2015 16:00:00,72.7
7/21/2015 16:00:00,72.02
7/22/2015 16:00:00,71.97
7/23/2015 16:00:00,71.75
7/24/2015 16:00:00,74.8
7/27/2015 16:00:00,73.86
7/28/2015 16:00:00,74.74
7/29/2015 16:00:00,76.01
7/30/2015 16:00:00,76.38
7/31/2015 16:00:00,75.34
8/3/2015 16:00:00,75.77
8/4/2015 16:00:00,75.27
8/5/2015 16:00:00,74.98
8/6/2015 16:00:00,73.58
8/7/2015 16:00:00,74.21
8/10/2015 16:00:00,74.38
8/11/2015 16:00:00,73.36
8/12/2015 16:00:00,73.54
8/13/2015 16:00:00,73.93
8/14/2015 16:00:00,74.22
8/17/2015 16:00:00,74.41
8/18/2015 16:00:00,74.47
8/19/2015 16:00:00,74.4
8/20/2015 16:00:00,73.95
8/21/2015 16:00:00,71.19
8/24/2015 16:00:00,68.36
8/25/2015 16:00:00,66.97
8/26/2015 16:00:00,70.69
8/27/2015 16:00:00,72.4
8/28/2015 16:00:00,72.46
8/31/2015 16:00:00,71.3
9/1/2015 16:00:00,68.96
9/2/2015 16:00:00,69.62
9/3/2015 16:00:00,70.4
9/4/2015 16:00:00,69.16
9/8/2015 16:00:00,70.53
9/9/2015 16:00:00,69.6
9/10/2015 16:00:00,70.23
9/11/2015 16:00:00,70.76
9/14/2015 16:00:00,70.01
9/15/2015 16:00:00,70.51
9/16/2015 16:00:00,70.99
9/17/2015 16:00:00,70.96
9/18/2015 16:00:00,69.79
9/21/2015 16:00:00,70.78
9/22/2015 16:00:00,70.25
9/23/2015 16:00:00,70.95
9/24/2015 16:00:00,70.24
9/25/2015 16:00:00,70.69
9/28/2015 16:00:00,67.2
9/29/2015 16:00:00,68.53
9/30/2015 16:00:00,69.66
10/1/2015 16:00:00,69.99
10/2/2015 16:00:00,70.67
10/5/2015 16:00:00,72.23
10/6/2015 16:00:00,72.08
10/7/2015 16:00:00,73.22
10/8/2015 16:00:00,73.9
10/9/2015 16:00:00,73.98
10/12/2015 16:00:00,74.99
10/13/2015 16:00:00,75
10/14/2015 16:00:00,74.2
10/15/2015 16:00:00,75.34
10/16/2015 16:00:00,76
10/19/2015 16:00:00,76.99
10/20/2015 16:00:00,76.28
10/21/2015 16:00:00,75.46
10/22/2015 16:00:00,76.42
10/23/2015 16:00:00,77.07
10/26/2015 16:00:00,78.18
10/27/2015 16:00:00,77.52
10/28/2015 16:00:00,78.87
10/29/2015 16:00:00,78.51
10/30/2015 16:00:00,77.58
11/2/2015 16:00:00,75.22
11/3/2015 16:00:00,77.9
11/4/2015 16:00:00,78.35
11/5/2015 16:00:00,79.26
11/6/2015 16:00:00,78.75
11/9/2015 16:00:00,78.04
11/10/2015 16:00:00,79.48
11/11/2015 16:00:00,79.18
