Date,RDFN
7/28/2017 16:00:00,21.7
7/31/2017 16:00:00,24.13
8/1/2017 16:00:00,26.48
8/2/2017 16:00:00,31.06
8/3/2017 16:00:00,27.2
8/4/2017 16:00:00,25.84
8/7/2017 16:00:00,25.27
8/8/2017 16:00:00,25.52
8/9/2017 16:00:00,26.33
8/10/2017 16:00:00,25.44
8/11/2017 16:00:00,24.85
8/14/2017 16:00:00,24.96
8/15/2017 16:00:00,28.59
8/16/2017 16:00:00,27.19
8/17/2017 16:00:00,26.58
8/18/2017 16:00:00,26.7
8/21/2017 16:00:00,27.56
8/22/2017 16:00:00,25.27
8/23/2017 16:00:00,25.75
8/24/2017 16:00:00,25.79
8/25/2017 16:00:00,24.89
8/28/2017 16:00:00,24.83
8/29/2017 16:00:00,23.87
8/30/2017 16:00:00,23.04
8/31/2017 16:00:00,22.29
9/1/2017 16:00:00,23.6
9/5/2017 16:00:00,24.99
9/6/2017 16:00:00,25.86
9/7/2017 16:00:00,25.36
9/8/2017 16:00:00,24.1
9/11/2017 16:00:00,25.82
9/12/2017 16:00:00,25.41
9/13/2017 16:00:00,26.89
9/14/2017 16:00:00,26.72
9/15/2017 16:00:00,26.53
9/18/2017 16:00:00,26.92
9/19/2017 16:00:00,26.58
9/20/2017 16:00:00,27.28
9/21/2017 16:00:00,26.25
9/22/2017 16:00:00,27.97
9/25/2017 16:00:00,26.02
9/26/2017 16:00:00,25.21
9/27/2017 16:00:00,25.24
9/28/2017 16:00:00,25.42
9/29/2017 16:00:00,25.09
10/2/2017 16:00:00,25.05
10/3/2017 16:00:00,24.92
10/4/2017 16:00:00,24.92
10/5/2017 16:00:00,25
10/6/2017 16:00:00,25
10/9/2017 16:00:00,26.33
10/10/2017 16:00:00,25.33
10/11/2017 16:00:00,25.33
10/12/2017 16:00:00,25.65
10/13/2017 16:00:00,26.03
10/16/2017 16:00:00,25.76
10/17/2017 16:00:00,26.99
10/18/2017 16:00:00,26.08
10/19/2017 16:00:00,25.68
10/20/2017 16:00:00,25.25
10/23/2017 16:00:00,24.34
10/24/2017 16:00:00,24.09
10/25/2017 16:00:00,23.4
10/26/2017 16:00:00,23.11
10/27/2017 16:00:00,23.01
10/30/2017 16:00:00,23.28
10/31/2017 16:00:00,23.54
11/1/2017 16:00:00,23.28
11/2/2017 16:00:00,23.74
11/3/2017 16:00:00,22.9
11/6/2017 16:00:00,22.54
11/7/2017 16:00:00,22.95
11/8/2017 16:00:00,21.7
11/9/2017 16:00:00,23.2
11/10/2017 16:00:00,20.93
11/13/2017 16:00:00,21.29
11/14/2017 16:00:00,21.15
11/15/2017 16:00:00,21.76
11/16/2017 16:00:00,21.05
11/17/2017 16:00:00,21.12
11/20/2017 16:00:00,20.85
11/21/2017 16:00:00,20.78
11/22/2017 16:00:00,19.94
11/24/2017 13:00:00,20.08
11/27/2017 16:00:00,21.43
11/28/2017 16:00:00,22.86
11/29/2017 16:00:00,22.81
11/30/2017 16:00:00,22.78
12/1/2017 16:00:00,23.44
12/4/2017 16:00:00,24.69
